Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
8120866;14456345;14387429;1;MA;20;M; ;0;ei henkilövahinkoa;SO ;            ;
8120866;14456345;14387430;1;MA;21;M; ;0;ei henkilövahinkoa;SO ;            ;
8120866;14456345;14387431;1;MA;23;N; ;0;ei henkilövahinkoa;SO ;            ;
8120866;14456345;14387432;1;MA;20;M; ;0;ei henkilövahinkoa;SO ;            ;
8120866;14456345;14387433;1;KU;29;M; ;0;ei henkilövahinkoa;SO ;B           ;
8121807;14457675;14388072;1;KU;41;M; ;0;ei henkilövahinkoa;SF ;BE          ;23
8121807;14457676;14388073;2;KU;58;M; ;L;loukkaantunut;IRQ;B           ;1
8788492;15672695;15624330;2;KU;28;M; ;0;ei henkilövahinkoa;EV ;BC1         ;
8788492;15672739;15624397;1;KU;44;M; ;0;ei henkilövahinkoa;SF ;B           ;16
8121808;14457677;14388074;1;KU;23;N; ;0;ei henkilövahinkoa;SF ;B           ;6
8121808;14457678;14388075;2;KU;27;N; ;0;ei henkilövahinkoa;EV ;B           ;
8788487;15672642;15624309;1;KU;56;M; ;0;ei henkilövahinkoa;SF ;AB          ;36
8788487;15672692;15624327;2;KU;27;M; ;0;ei henkilövahinkoa;S  ;            ;
8788522;15672645;15624312;1;KU;25;M; ;0;ei henkilövahinkoa;SF ;B           ;7
8788522;15672698;15624334;2;KU;35;M; ;0;ei henkilövahinkoa;SF ;BC          ;18
8788524;15672661;15624380;1;KU;39;M; ;0;ei henkilövahinkoa;SF ;AB          ;14
8788524;15672731;15624390;2;KU;19;M; ;0;ei henkilövahinkoa;SF ;BC          ;
8120865;14456346;14387428;1;KU;54;M; ;0;ei henkilövahinkoa;SF ;B           ;12
8120865;14456347;14387427;2;KU;33;N; ;L;loukkaantunut;SF ;B           ;13
8121506;14457679;14388076;1;KU;23;N; ;0;ei henkilövahinkoa;SF ;B           ;6
8121506;14457680;14388077;2;KU;21;M; ;0;ei henkilövahinkoa;SF ;            ;
8121426;14456348;14387426;1;KU;40;N; ;0;ei henkilövahinkoa;SF ;B           ;22
8121426;14456349;14387425;2;KU;42;M; ;0;ei henkilövahinkoa;SF ;BECE        ;24
8121798;14457681;14388078;1;KU;54;N; ;0;ei henkilövahinkoa;SF ;ABE         ;35
8121798;14457682;14388079;2;KU;18;M; ;0;ei henkilövahinkoa;SF ;B           ;
8291350;14771895;14709210;1;KU;63;M; ;0;ei henkilövahinkoa;SF ;ABE         ;45
8291350;14771896;14709209;2;KU;46;M; ;0;ei henkilövahinkoa;SF ;ABE         ;28
8130242;14473369;14404491;1;KU;27;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;10
8130242;14473370;14404490;2;KU;25;M; ;0;ei henkilövahinkoa;SF ;BC          ;8
8130775;14473371;14404489;1;KU;63;N; ;0;ei henkilövahinkoa;SF ;ABE         ;33
8130775;14473372;14404488;2;KU;46;N; ;0;ei henkilövahinkoa;SF ;AB          ;28
8130245;14473373;14404487;1;KU;35;M;O;L;loukkaantunut;SF ;EI          ;
8130777;14473374;14404486;1;KU;40;N; ;0;ei henkilövahinkoa;SF ;B           ;15
8130777;14473375;14404485;2;KU;71;M; ;0;ei henkilövahinkoa;SF ;B           ;5
